CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,P21,PP04D_COD,P47T,REGION,AGLOMERADO,TRIMESTRE,ANO4
Mujer,44.0,Casado,Mutual/Prepaga/Servicio de emergencia,Secundaria Completa,Ocupado,0.0,555.0,500.0,41112,500.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,20.0,Soltero,Mutual/Prepaga/Servicio de emergencia,Secundaria Completa,Ocupado,0.0,555.0,120.0,10314,220.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,18.0,Soltero,Mutual/Prepaga/Servicio de emergencia,Secundaria Incompleta,Inactivo,Estudiante,555.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,61.0,Casado,No paga ni le descuentan,Secundaria Incompleta,Ocupado,0.0,13.333333333333334,40.0,72113,40.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,67.0,Casado,No paga ni le descuentan,Sin instrucción,Inactivo,Ama de casa,13.333333333333334,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,33.0,Soltero,No paga ni le descuentan,Superior Universitaria Completa,Desocupado,0.0,13.333333333333334,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,60.0,Casado,Obra social (incluye PAMI),Primaria Completa,Ocupado,0.0,388.5,402.0,80323,777.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,63.0,Casado,Obra social (incluye PAMI),Primaria Completa,Inactivo,Ama de casa,388.5,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,30.0,Casado,Obra social (incluye PAMI),Secundaria Incompleta,Ocupado,0.0,250.0,450.0,72313,450.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,25.0,Casado,Obra social (incluye PAMI),Primaria Completa,Ocupado,0.0,250.0,300.0,30113,300.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,4.0,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,Menor de 6 años,250.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,73.0,Viudo,Obra social (incluye PAMI),Primaria Completa,Inactivo,Jubilado/pensionado,600.0,0.0,     ,600.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,72.0,Casado,Mutual/Prepaga/Servicio de emergencia,Secundaria Incompleta,Inactivo,Jubilado/pensionado,700.0,0.0,     ,700.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,79.0,Casado,Mutual/Prepaga/Servicio de emergencia,Primaria Completa,Inactivo,Jubilado/pensionado,700.0,0.0,     ,700.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,54.0,Separado o divorciado,No paga ni le descuentan,Primaria Completa,Ocupado,0.0,505.0,550.0,55314,810.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,23.0,Soltero,No paga ni le descuentan,Superior Universitaria Incompleta,Ocupado,0.0,505.0,200.0,82313,200.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,62.0,Casado,Obra social (incluye PAMI),Primaria Completa,Inactivo,Jubilado/pensionado,140.0,0.0,     ,420.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,51.0,Casado,Obra social (incluye PAMI),Primaria Completa,Inactivo,Ama de casa,140.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,16.0,Soltero,No paga ni le descuentan,Secundaria Incompleta,Inactivo,Estudiante,140.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,53.0,Casado,Obra social (incluye PAMI),Sin instrucción,Ocupado,0.0,300.0,600.0,36313,600.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,58.0,Casado,Obra social (incluye PAMI),Secundaria Completa,Inactivo,Ama de casa,300.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,59.0,Viudo,No paga ni le descuentan,Primaria Completa,Inactivo,Jubilado/pensionado,530.0,0.0,     ,320.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,24.0,Soltero,Obra social (incluye PAMI),Secundaria Completa,Ocupado,0.0,530.0,650.0,80312,740.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,40.0,Separado o divorciado,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Ocupado,0.0,30.0,150.0,80323,150.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,18.0,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Ocupado,0.0,30.0,60.0,33114,60.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,15.0,Soltero,No paga ni le descuentan,Primaria Completa,Inactivo,Estudiante,30.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,11.0,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Ocupado,0.0,30.0,0.0,33314,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,9.0,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Menor de 10 años,Estudiante,30.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,8.0,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Menor de 10 años,Estudiante,30.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,6.0,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Menor de 10 años,Estudiante,30.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,64.0,Separado o divorciado,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Ocupado,0.0,200.0,400.0,80313,400.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,15.0,Soltero,No paga ni le descuentan,Secundaria Incompleta,Inactivo,Estudiante,200.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,80.0,Casado,Obra social y mutual/prepaga/servicio de emergencia,Primaria Completa,Inactivo,Jubilado/pensionado,255.0,0.0,     ,280.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,81.0,Casado,Obra social y mutual/prepaga/servicio de emergencia,Primaria Completa,Inactivo,Jubilado/pensionado,255.0,0.0,     ,230.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,23.0,Unido,No paga ni le descuentan,Primaria Completa,Ocupado,0.0,83.0,267.0,56314,332.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,20.0,Unido,No paga ni le descuentan,Secundaria Incompleta,Inactivo,Ama de casa,83.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,2.0,Soltero,No paga ni le descuentan,Sin instrucción,Menor de 10 años,Menor de 6 años,83.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,,Soltero,No paga ni le descuentan,Sin instrucción,Menor de 10 años,Menor de 6 años,83.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,82.0,Casado,Obra social y mutual/prepaga/servicio de emergencia,Primaria Completa,Inactivo,Jubilado/pensionado,280.5,0.0,     ,261.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,79.0,Casado,Obra social y mutual/prepaga/servicio de emergencia,Secundaria Completa,Inactivo,Rentista,280.5,0.0,     ,300.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,61.0,Casado,Mutual/Prepaga/Servicio de emergencia,Superior Universitaria Incompleta,Ocupado,0.0,1833.3333333333333,3000.0,06001,3300.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,58.0,Casado,Mutual/Prepaga/Servicio de emergencia,Secundaria Incompleta,Ocupado,0.0,1833.3333333333333,1000.0,06001,1000.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,26.0,Soltero,Mutual/Prepaga/Servicio de emergencia,Superior Universitaria Completa,Ocupado,0.0,1833.3333333333333,1200.0,30312,1200.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,24.0,Casado,No paga ni le descuentan,Secundaria Incompleta,Ocupado,0.0,60.0,200.0,82313,300.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,21.0,Casado,No paga ni le descuentan,Primaria Completa,Inactivo,Ama de casa,60.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,4.0,Soltero,No paga ni le descuentan,Sin instrucción,Menor de 10 años,Menor de 6 años,60.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,3.0,Soltero,No paga ni le descuentan,Sin instrucción,Menor de 10 años,Menor de 6 años,60.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,,Soltero,No paga ni le descuentan,Sin instrucción,Menor de 10 años,Menor de 6 años,60.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,58.0,Casado,No paga ni le descuentan,Secundaria Incompleta,Inactivo,Jubilado/pensionado,508.25,0.0,     ,850.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,56.0,Casado,No paga ni le descuentan,Primaria Completa,Inactivo,Ama de casa,508.25,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,36.0,Soltero,No paga ni le descuentan,Secundaria Completa,Ocupado,0.0,508.25,400.0,30113,400.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,26.0,Soltero,Obra social (incluye PAMI),Secundaria Completa,Ocupado,0.0,508.25,783.0,58323,783.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,33.0,Casado,Obra social (incluye PAMI),Secundaria Incompleta,Ocupado,0.0,300.0,700.0,80313,700.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,39.0,Casado,Obra social (incluye PAMI),Secundaria Incompleta,Ocupado,0.0,300.0,500.0,30113,500.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,8.0,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Menor de 10 años,Estudiante,300.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,4.0,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,Menor de 6 años,300.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,71.0,Casado,Obra social (incluye PAMI),Primaria Completa,Inactivo,Jubilado/pensionado,645.0,0.0,     ,450.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,68.0,Casado,Obra social (incluye PAMI),Primaria Completa,Inactivo,Jubilado/pensionado,645.0,0.0,     ,840.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,66.0,Casado,Obra social (incluye PAMI),Primaria Completa,Inactivo,Jubilado/pensionado,355.0,0.0,     ,710.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,62.0,Casado,Obra social (incluye PAMI),Primaria Completa,Inactivo,Ama de casa,355.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,82.0,Viudo,Obra social (incluye PAMI),Sin instrucción,Inactivo,Jubilado/pensionado,200.0,0.0,     ,200.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,32.0,Casado,Obra social (incluye PAMI),Superior Universitaria Incompleta,Ocupado,0.0,350.0,1400.0,10313,1400.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,29.0,Casado,Obra social (incluye PAMI),Superior Universitaria Incompleta,Inactivo,Estudiante,350.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,7.0,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Menor de 10 años,Estudiante,350.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,5.0,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Menor de 10 años,Menor de 6 años,350.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,29.0,Unido,No paga ni le descuentan,Primaria Completa,Ocupado,0.0,187.5,600.0,34323,600.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,30.0,Unido,No paga ni le descuentan,Primaria Completa,Ocupado,0.0,187.5,150.0,80313,150.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,10.0,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Inactivo,Estudiante,187.5,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,5.0,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Menor de 10 años,Menor de 6 años,187.5,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,44.0,Casado,Obra social (incluye PAMI),Secundaria Completa,Ocupado,0.0,276.0,1000.0,47313,1180.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,40.0,Casado,Obra social (incluye PAMI),Secundaria Completa,Inactivo,Ama de casa,276.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,18.0,Soltero,Obra social (incluye PAMI),Secundaria Completa,Ocupado,0.0,276.0,200.0,30314,200.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,15.0,Soltero,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,Estudiante,276.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,13.0,Soltero,Obra social (incluye PAMI),Primaria Completa,Inactivo,Estudiante,276.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,74.0,Separado o divorciado,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Inactivo,Jubilado/pensionado,250.0,0.0,     ,250.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,59.0,Unido,No paga ni le descuentan,Secundaria Completa,Ocupado,0.0,300.0,250.0,33114,250.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,45.0,Unido,No paga ni le descuentan,Secundaria Completa,Ocupado,0.0,300.0,300.0,33114,300.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,80.0,Viudo,Obra social (incluye PAMI),Primaria Completa,Inactivo,Jubilado/pensionado,300.0,0.0,     ,350.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,24.0,Soltero,No paga ni le descuentan,Primaria Completa,Inactivo,Ama de casa,112.5,0.0,     ,450.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,8.0,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Menor de 10 años,Estudiante,112.5,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,4.0,Soltero,No paga ni le descuentan,Sin instrucción,Menor de 10 años,Menor de 6 años,112.5,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,2.0,Soltero,No paga ni le descuentan,Sin instrucción,Menor de 10 años,Menor de 6 años,112.5,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,44.0,Casado,Obra social (incluye PAMI),Superior Universitaria Incompleta,Ocupado,0.0,388.0,1400.0,80313,1650.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,40.0,Casado,Obra social (incluye PAMI),Secundaria Incompleta,Ocupado,0.0,388.0,0.0,80313,290.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,13.0,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Ocupado,0.0,388.0,0.0,80314,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,7.0,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Menor de 10 años,Estudiante,388.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,4.0,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,Menor de 6 años,388.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,35.0,Casado,Obra social (incluye PAMI),Superior Universitaria Completa,Ocupado,0.0,757.5,2200.0,81331,2200.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,34.0,Casado,Obra social (incluye PAMI),Superior Universitaria Incompleta,Ocupado,0.0,757.5,800.0,30313,830.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,2.0,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,Menor de 6 años,757.5,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,Menor de 6 años,757.5,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,50.0,Unido,No paga ni le descuentan,Primaria Completa,Desocupado,0.0,18.75,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,39.0,Unido,No paga ni le descuentan,Primaria Completa,Ocupado,0.0,18.75,150.0,53313,150.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,22.0,Separado o divorciado,No paga ni le descuentan,Primaria Completa,Inactivo,Ama de casa,18.75,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,16.0,Soltero,No paga ni le descuentan,Secundaria Incompleta,Inactivo,Estudiante,18.75,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,11.0,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Inactivo,Estudiante,18.75,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,5.0,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Menor de 10 años,Menor de 6 años,18.75,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,5.0,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Menor de 10 años,Menor de 6 años,18.75,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,3.0,Soltero,No paga ni le descuentan,Sin instrucción,Menor de 10 años,Menor de 6 años,18.75,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,39.0,Casado,No paga ni le descuentan,Secundaria Completa,Ocupado,0.0,200.0,500.0,47313,500.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,38.0,Casado,Obra social (incluye PAMI),Secundaria Incompleta,Ocupado,0.0,200.0,300.0,80314,300.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,12.0,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Inactivo,Estudiante,200.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,8.0,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Menor de 10 años,Estudiante,200.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,51.0,Viudo,Obra social (incluye PAMI),Superior Universitaria Completa,Ocupado,0.0,487.5,700.0,40311,1050.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,20.0,Soltero,Obra social (incluye PAMI),Superior Universitaria Incompleta,Desocupado,0.0,487.5,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,24.0,Soltero,Obra social (incluye PAMI),Superior Universitaria Incompleta,Ocupado,0.0,487.5,900.0,20312,900.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,8.0,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Menor de 10 años,Estudiante,487.5,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,57.0,Casado,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Ocupado,0.0,275.0,125.0,30113,275.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,54.0,Casado,No paga ni le descuentan,Primaria Completa,Ocupado,0.0,275.0,150.0,30113,275.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,76.0,Casado,Obra social (incluye PAMI),Primaria Completa,Ocupado,0.0,504.75,122.0,54313,372.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,46.0,Soltero,Obra social (incluye PAMI),Secundaria Completa,Ocupado,0.0,504.75,1302.0,20332,1302.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,41.0,Soltero,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,Jubilado/pensionado,504.75,0.0,     ,345.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,75.0,Casado,Obra social (incluye PAMI),Primaria Completa,Inactivo,Ama de casa,504.75,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,54.0,Casado,Obra social (incluye PAMI),Secundaria Completa,Ocupado,0.0,216.0,680.0,10313,680.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,53.0,Casado,Obra social (incluye PAMI),Secundaria Completa,Inactivo,Ama de casa,216.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,19.0,Separado o divorciado,Obra social (incluye PAMI),Secundaria Incompleta,Ocupado,0.0,216.0,0.0,55314,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,23.0,Soltero,Obra social (incluye PAMI),Superior Universitaria Incompleta,Ocupado,0.0,216.0,400.0,30203,400.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,1.0,Soltero,No paga ni le descuentan,Sin instrucción,Menor de 10 años,Menor de 6 años,216.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,42.0,Casado,Obra social (incluye PAMI),Superior Universitaria Completa,Ocupado,0.0,710.0,840.0,41312,1640.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,32.0,Casado,Obra social (incluye PAMI),Superior Universitaria Completa,Ocupado,0.0,710.0,300.0,41312,1000.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,Menor de 6 años,710.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,63.0,Viudo,Obra social (incluye PAMI),Primaria Completa,Inactivo,Jubilado/pensionado,710.0,0.0,     ,200.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,36.0,Unido,Obra social (incluye PAMI),Primaria Completa,Ocupado,0.0,150.0,600.0,34323,600.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,25.0,Unido,Obra social (incluye PAMI),Primaria Completa,Inactivo,Ama de casa,150.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,5.0,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,Menor de 6 años,150.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,2.0,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,Menor de 6 años,150.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,75.0,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Inactivo,Rentista,250.0,0.0,     ,250.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,74.0,Casado,Obra social (incluye PAMI),Primaria Completa,Inactivo,Jubilado/pensionado,116.5,0.0,     ,233.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,67.0,Casado,Obra social (incluye PAMI),Primaria Completa,Inactivo,Ama de casa,116.5,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,33.0,Casado,Mutual/Prepaga/Servicio de emergencia,Superior Universitaria Completa,Ocupado,0.0,796.6666666666666,1940.0,20312,1940.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,35.0,Casado,Mutual/Prepaga/Servicio de emergencia,Superior Universitaria Completa,Ocupado,0.0,796.6666666666666,0.0,41312,450.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,1.0,Soltero,Mutual/Prepaga/Servicio de emergencia,Sin instrucción,Menor de 10 años,Menor de 6 años,796.6666666666666,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,61.0,Casado,Obra social (incluye PAMI),Superior Universitaria Completa,Ocupado,0.0,425.0,400.0,81131,400.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,46.0,Casado,Obra social (incluye PAMI),Secundaria Completa,Ocupado,0.0,425.0,400.0,30113,400.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,23.0,Soltero,Obra social (incluye PAMI),Superior Universitaria Incompleta,Ocupado,0.0,425.0,600.0,92313,900.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,21.0,Soltero,Obra social (incluye PAMI),Superior Universitaria Incompleta,Inactivo,Estudiante,425.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,81.0,Viudo,Obra social (incluye PAMI),Secundaria Completa,Inactivo,Jubilado/pensionado,295.0,0.0,     ,430.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,68.0,Soltero,Planes y seguros públicos,Primaria Completa,Inactivo,Ama de casa,295.0,0.0,     ,160.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,48.0,Casado,No paga ni le descuentan,Primaria Completa,Ocupado,0.0,100.0,400.0,30113,400.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,43.0,Casado,No paga ni le descuentan,Secundaria Completa,Inactivo,Ama de casa,100.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Mujer,18.0,Soltero,No paga ni le descuentan,Superior Universitaria Incompleta,Inactivo,Estudiante,100.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
Varón,14.0,Soltero,No paga ni le descuentan,Secundaria Incompleta,Inactivo,Estudiante,100.0,0.0,     ,0.0,Gran Buenos Aires,Partidos del GBA,1er. Trimestre,2004
