CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,P21,PP04D_COD,P47T,REGION,AGLOMERADO,TRIMESTRE,ANO4
Mujer,52.0,Casado,Obra social (incluye PAMI),Superior Universitaria Completa,Ocupado,0.0,900.0,1000.0,20111,1000.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,12.0,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Inactivo,Estudiante,900.0,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,51.0,Soltero,Obra social (incluye PAMI),Superior Universitaria Completa,Ocupado,0.0,3000.0,3000.0,80313,3000.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,62.0,Viudo,No paga ni le descuentan,Secundaria Completa,Inactivo,Jubilado/pensionado,180.0,0.0,     ,360.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,32.0,Soltero,No paga ni le descuentan,Secundaria Incompleta,Desocupado,0.0,180.0,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,29.0,Soltero,Obra social y mutual/prepaga/servicio de emergencia,Superior Universitaria Incompleta,Ocupado,0.0,3620.0,3340.0,81331,3620.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,64.0,Viudo,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Inactivo,Jubilado/pensionado,311.0,0.0,     ,502.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,49.0,Soltero,Obra social (incluye PAMI),Sin instrucción,Inactivo,Jubilado/pensionado,311.0,0.0,     ,120.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,49.0,Separado o divorciado,No paga ni le descuentan,Secundaria Incompleta,Desocupado,0.0,68.0,0.0,     ,190.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,22.0,Soltero,No paga ni le descuentan,Superior Universitaria Incompleta,Desocupado,0.0,68.0,0.0,     ,150.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,20.0,Soltero,No paga ni le descuentan,Secundaria Incompleta,Desocupado,0.0,68.0,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,19.0,Soltero,No paga ni le descuentan,Superior Universitaria Incompleta,Inactivo,Estudiante,68.0,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,10.0,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Inactivo,Estudiante,68.0,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,52.0,Casado,Obra social (incluye PAMI),Superior Universitaria Incompleta,Ocupado,0.0,280.0,0.0,42111,300.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,47.0,Casado,Obra social (incluye PAMI),Superior Universitaria Completa,Ocupado,0.0,280.0,700.0,42311,820.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,15.0,Soltero,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,Estudiante,280.0,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,12.0,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Inactivo,Estudiante,280.0,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,43.0,Casado,Obra social (incluye PAMI),Superior Universitaria Completa,Ocupado,0.0,940.0,3200.0,07001,4700.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,43.0,Casado,Obra social (incluye PAMI),Superior Universitaria Completa,Inactivo,Ama de casa,940.0,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,13.0,Soltero,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,Estudiante,940.0,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,10.0,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Inactivo,Estudiante,940.0,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,3.0,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,Menor de 6 años,940.0,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,46.0,Casado,No paga ni le descuentan,Primaria Completa,Ocupado,0.0,250.0,500.0,34323,500.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,55.0,Casado,No paga ni le descuentan,Secundaria Completa,Inactivo,Ama de casa,250.0,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,18.0,Soltero,No paga ni le descuentan,Superior Universitaria Incompleta,Desocupado,0.0,250.0,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,21.0,Soltero,No paga ni le descuentan,Superior Universitaria Incompleta,Ocupado,0.0,250.0,500.0,30313,500.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,78.0,Soltero,Obra social (incluye PAMI),Secundaria Completa,Inactivo,Jubilado/pensionado,1600.0,0.0,     ,1600.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,60.0,Casado,Obra social (incluye PAMI),Primaria Completa,Inactivo,Jubilado/pensionado,325.0,0.0,     ,300.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,43.0,Casado,Obra social (incluye PAMI),Primaria Completa,Ocupado,0.0,325.0,1000.0,40312,1000.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,19.0,Soltero,Obra social (incluye PAMI),Superior Universitaria Incompleta,Inactivo,Estudiante,325.0,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,10.0,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Inactivo,Estudiante,325.0,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,32.0,Viudo,Obra social (incluye PAMI),Secundaria Incompleta,Ocupado,0.0,506.6666666666667,620.0,30203,620.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,59.0,Viudo,Obra social (incluye PAMI),Primaria Completa,Inactivo,Ama de casa,506.6666666666667,0.0,     ,100.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,37.0,Soltero,Obra social (incluye PAMI),Secundaria Incompleta,Ocupado,0.0,506.6666666666667,800.0,82314,800.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,44.0,Soltero,Obra social (incluye PAMI),Superior Universitaria Completa,Ocupado,0.0,540.0,400.0,20313,540.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,30.0,Separado o divorciado,Obra social (incluye PAMI),Superior Universitaria Completa,Ocupado,0.0,2400.0,2000.0,40111,2400.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,62.0,Casado,Mutual/Prepaga/Servicio de emergencia,Primaria Completa,Ocupado,0.0,400.0,800.0,30313,800.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,63.0,Casado,Mutual/Prepaga/Servicio de emergencia,Superior Universitaria Incompleta,Desocupado,0.0,400.0,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,71.0,Casado,Obra social (incluye PAMI),Primaria Completa,Inactivo,Jubilado/pensionado,390.0,0.0,     ,345.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,67.0,Casado,Obra social (incluye PAMI),Primaria Completa,Inactivo,Jubilado/pensionado,390.0,0.0,     ,525.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,87.0,Viudo,Obra social (incluye PAMI),Primaria Completa,Inactivo,Jubilado/pensionado,390.0,0.0,     ,300.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,34.0,Separado o divorciado,Obra social (incluye PAMI),Superior Universitaria Completa,Ocupado,0.0,425.0,850.0,10333,850.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,14.0,Soltero,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,Estudiante,425.0,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,24.0,Soltero,Obra social (incluye PAMI),Superior Universitaria Incompleta,Ocupado,0.0,1325.0,2050.0,11312,2350.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,28.0,Soltero,Obra social (incluye PAMI),Superior Universitaria Incompleta,Desocupado,0.0,1325.0,0.0,     ,300.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,51.0,Separado o divorciado,Obra social (incluye PAMI),Secundaria Completa,Ocupado,0.0,433.3333333333333,1300.0,30313,1300.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,22.0,Soltero,Obra social (incluye PAMI),Superior Universitaria Incompleta,Inactivo,Estudiante,433.3333333333333,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
